Speaker,Word,Frequency,Debate
KASICH,stop,1,12_republican_debate.txt
KASICH,rock,1,12_republican_debate.txt
KASICH,america,9,12_republican_debate.txt
KASICH,could,1,12_republican_debate.txt
KASICH,strong,4,12_republican_debate.txt
KASICH,matter,3,12_republican_debate.txt
KASICH,beloved,1,12_republican_debate.txt
KASICH,putin,1,12_republican_debate.txt
KASICH,settles,1,12_republican_debate.txt
KASICH,prey,1,12_republican_debate.txt
KASICH,begging,1,12_republican_debate.txt
KASICH,shut,1,12_republican_debate.txt
KASICH,kind,1,12_republican_debate.txt
KASICH,cut,2,12_republican_debate.txt
KASICH,trillion,2,12_republican_debate.txt
KASICH,rang,1,12_republican_debate.txt
KASICH,faced,1,12_republican_debate.txt
KASICH,full,1,12_republican_debate.txt
KASICH,tonight,1,12_republican_debate.txt
KASICH,korea,1,12_republican_debate.txt
KASICH,close,1,12_republican_debate.txt
KASICH,experts,1,12_republican_debate.txt
KASICH,presidential,1,12_republican_debate.txt
KASICH,century,4,12_republican_debate.txt
KASICH,move,1,12_republican_debate.txt
KASICH,supported,1,12_republican_debate.txt
KASICH,tax,2,12_republican_debate.txt
KASICH,boards,1,12_republican_debate.txt
KASICH,strengthen,2,12_republican_debate.txt
KASICH,tuesday,1,12_republican_debate.txt
KASICH,got,6,12_republican_debate.txt
KASICH,syrian,1,12_republican_debate.txt
KASICH,group,1,12_republican_debate.txt
KASICH,easy,1,12_republican_debate.txt
KASICH,case,1,12_republican_debate.txt
KASICH,everything,2,12_republican_debate.txt
KASICH,ground,2,12_republican_debate.txt
KASICH,provide,1,12_republican_debate.txt
KASICH,climate,1,12_republican_debate.txt
KASICH,rumsfeld,1,12_republican_debate.txt
KASICH,government,4,12_republican_debate.txt
KASICH,longer,1,12_republican_debate.txt
KASICH,action,1,12_republican_debate.txt
KASICH,arabs,1,12_republican_debate.txt
KASICH,reason,1,12_republican_debate.txt
KASICH,allies,1,12_republican_debate.txt
KASICH,wo,1,12_republican_debate.txt
